Rdate,comment,condition,drug,easeofuse,effectiveness,helpful,reviewer,satisfaction
7/2/2011 8:43:36 AM,"Unfortunately, I have recurring diarhea with this medication.  My Dr. started me on 1 tablet twice a day (500mg)and I experienced severe diahrea.  I am on 1/2 a pill twice a day now (250mg) I still get diahrea but none of the other symptoms mentioned in your article.  I am now on insuline along with the metformin and my blood sugar is much better contolled now.",Type 2 Diabetes Mellitus,metformin oral,4,3,22,,3
7/1/2011 6:24:38 PM,"Unfortunately, I have recurring diarhea with this medication.  My Dr. started me on 1 tablet twice a day (500mg)and I experienced severe diahrea.  I am on 1/2 a pill twice a day now (250mg) I still get diahrea but none of the other symptoms mentioned in your article.  I am now on insuline along with the metformin and my blood sugar is much better contolled now.",Type 2 Diabetes Mellitus,metformin oral,5,5,22,65-74 Male  on Treatment for 1 to less than 2 years (Patient),3
7/27/2011 11:00:28 PM,"I was on Glipizide 10 mg a day sugar level was high so my doc put me on metformin 500 mg twice daily as well. it have very little effect but side effects are chest pains, difficulty in breathin, numbness, dizzy, extreme weakness and too tired and drowzy. I called my doc and he asked me to stop taking it and see him urgently",Type 2 Diabetes Mellitus,metformin oral,4,2,15,"hamid, 75 or over Male  (Patient)",1
7/26/2011 2:26:16 PM,"I was on Glipizide 10 mg a day sugar level was high so my doc put me on metformin 500 mg twice daily as well. it have very little effect but side effects are chest pains, difficulty in breathin, numbness, dizzy, extreme weakness and too tired and drowzy. I called my doc and he asked me to stop taking it and see him urgently",Type 2 Diabetes Mellitus,metformin oral,1,3,15,,3
7/22/2011 10:31:17 AM,"I was on Glipizide 10 mg a day sugar level was high so my doc put me on metformin 500 mg twice daily as well. it have very little effect but side effects are chest pains, difficulty in breathin, numbness, dizzy, extreme weakness and too tired and drowzy. I called my doc and he asked me to stop taking it and see him urgently",Type 2 Diabetes Mellitus,metformin oral,3,3,15,"gmberes, 55-64 Female  on Treatment for 1 to 6 months (Patient)",3
7/22/2011 2:00:16 AM,"I was on Glipizide 10 mg a day sugar level was high so my doc put me on metformin 500 mg twice daily as well. it have very little effect but side effects are chest pains, difficulty in breathin, numbness, dizzy, extreme weakness and too tired and drowzy. I called my doc and he asked me to stop taking it and see him urgently",Type 2 Diabetes Mellitus,metformin oral,3,1,15,"LADYBUG, 25-34 Female  (Patient)",1
7/13/2011 2:28:04 AM,"I was on Glipizide 10 mg a day sugar level was high so my doc put me on metformin 500 mg twice daily as well. it have very little effect but side effects are chest pains, difficulty in breathin, numbness, dizzy, extreme weakness and too tired and drowzy. I called my doc and he asked me to stop taking it and see him urgently",Type 2 Diabetes Mellitus,metformin oral,5,1,15,55-64 Male  on Treatment for 1 to less than 2 years (Patient),1
8/6/2011 12:43:32 PM,"After being on Daonil for some years i had low blood sugar experiences but when i started taking Metformin,one in the morning and one at bed time after meals,my sugar levels have dramatically become as follows:6.8-7.1 morning,5.2-6.3 after lunch and 4.8-5.4 in the evening.But i still take one ttablet of daonil every after lunch.At the sametime i continue to exercise every morning and after work in
					...
					",Type 2 Diabetes Mellitus,metformin oral,4,4,4,"Yakabuta, 45-54 Male  on Treatment for 1 to 6 months (Patient)",4
8/4/2011 10:13:53 PM,"After being on Daonil for some years i had low blood sugar experiences but when i started taking Metformin,one in the morning and one at bed time after meals,my sugar levels have dramatically become as follows:6.8-7.1 morning,5.2-6.3 after lunch and 4.8-5.4 in the evening.But i still take one ttablet of daonil every after lunch.At the sametime i continue to exercise every morning and after work in
					...
					",Type 2 Diabetes Mellitus,metformin oral,3,3,4,"morningstar72, 35-44 Female  on Treatment for 1 to 6 months (Patient)",3
7/30/2011 11:40:42 PM,"After being on Daonil for some years i had low blood sugar experiences but when i started taking Metformin,one in the morning and one at bed time after meals,my sugar levels have dramatically become as follows:6.8-7.1 morning,5.2-6.3 after lunch and 4.8-5.4 in the evening.But i still take one ttablet of daonil every after lunch.At the sametime i continue to exercise every morning and after work in
					...
					",Type 2 Diabetes Mellitus,metformin oral,4,4,4,"arkraz, 35-44 Female  on Treatment for 1 to less than 2 years (Patient)",1
7/28/2011 10:58:06 PM,"After being on Daonil for some years i had low blood sugar experiences but when i started taking Metformin,one in the morning and one at bed time after meals,my sugar levels have dramatically become as follows:6.8-7.1 morning,5.2-6.3 after lunch and 4.8-5.4 in the evening.But i still take one ttablet of daonil every after lunch.At the sametime i continue to exercise every morning and after work in
					...
					",Type 2 Diabetes Mellitus,metformin oral,5,5,4,"parriskat, 35-44 Female  on Treatment for 1 to 6 months (Patient)",1
7/28/2011 10:08:55 PM,"After being on Daonil for some years i had low blood sugar experiences but when i started taking Metformin,one in the morning and one at bed time after meals,my sugar levels have dramatically become as follows:6.8-7.1 morning,5.2-6.3 after lunch and 4.8-5.4 in the evening.But i still take one ttablet of daonil every after lunch.At the sametime i continue to exercise every morning and after work in
					...
					",Type 2 Diabetes Mellitus,metformin oral,4,4,4,"JOJO, 55-64 Female  on Treatment for 1 to less than 2 years (Patient)",4
8/26/2011 1:12:27 PM,"Dr started me slow then bumped up dosage to 2/500 mg morning and 2/500 at night. Got very sick and stopped taking it. Waited until I felt stronger and started dosage again. Slow then bumped up again. Still get sick feeling,nauseous,bloated,tired,sleepy. Not noticed any weight loss. Tablets are huge, taste awful. Urine very strong smelling.Not on insulin. Keeping my sugars under or close to 100 whe
					...
					",Type 2 Diabetes Mellitus,metformin oral,1,3,22,"Texas Mimi, 55-64 Female  on Treatment for 1 to 6 months (Patient)",1
8/16/2011 8:50:00 PM,"Dr started me slow then bumped up dosage to 2/500 mg morning and 2/500 at night. Got very sick and stopped taking it. Waited until I felt stronger and started dosage again. Slow then bumped up again. Still get sick feeling,nauseous,bloated,tired,sleepy. Not noticed any weight loss. Tablets are huge, taste awful. Urine very strong smelling.Not on insulin. Keeping my sugars under or close to 100 whe
					...
					",Type 2 Diabetes Mellitus,metformin oral,4,1,22,"Movil, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient)",1
8/14/2011 10:25:16 AM,"Dr started me slow then bumped up dosage to 2/500 mg morning and 2/500 at night. Got very sick and stopped taking it. Waited until I felt stronger and started dosage again. Slow then bumped up again. Still get sick feeling,nauseous,bloated,tired,sleepy. Not noticed any weight loss. Tablets are huge, taste awful. Urine very strong smelling.Not on insulin. Keeping my sugars under or close to 100 whe
					...
					",Type 2 Diabetes Mellitus,metformin oral,1,1,22,"Ged, 55-64 Male  on Treatment for 1 to 6 months (Patient)",1
8/12/2011 7:22:42 PM,"Dr started me slow then bumped up dosage to 2/500 mg morning and 2/500 at night. Got very sick and stopped taking it. Waited until I felt stronger and started dosage again. Slow then bumped up again. Still get sick feeling,nauseous,bloated,tired,sleepy. Not noticed any weight loss. Tablets are huge, taste awful. Urine very strong smelling.Not on insulin. Keeping my sugars under or close to 100 whe
					...
					",Type 2 Diabetes Mellitus,metformin oral,1,1,22,"matin, 35-44 Male  on Treatment for 5 to less than 10 years (Patient)",1
8/8/2011 9:14:20 AM,"Dr started me slow then bumped up dosage to 2/500 mg morning and 2/500 at night. Got very sick and stopped taking it. Waited until I felt stronger and started dosage again. Slow then bumped up again. Still get sick feeling,nauseous,bloated,tired,sleepy. Not noticed any weight loss. Tablets are huge, taste awful. Urine very strong smelling.Not on insulin. Keeping my sugars under or close to 100 whe
					...
					",Type 2 Diabetes Mellitus,metformin oral,5,5,22,65-74 Female  on Treatment for 1 to 6 months (Patient),5
9/23/2011 12:22:07 AM,BAD BAD DIAHERA AND SLEEPY ALL THE TIME,Type 2 Diabetes Mellitus,metformin oral,3,3,2,"hatimhamdani, 55-64 Male  on Treatment for 5 to less than 10 years (Patient)",2
9/18/2011 7:45:36 PM,BAD BAD DIAHERA AND SLEEPY ALL THE TIME,Type 2 Diabetes Mellitus,metformin oral,1,1,2,55-64 on Treatment for less than 1 month (Patient),1
9/9/2011 7:25:39 PM,BAD BAD DIAHERA AND SLEEPY ALL THE TIME,Type 2 Diabetes Mellitus,metformin oral,5,4,2,75 or over Male  on Treatment for 10 years or more (Patient),5
9/2/2011 12:41:19 PM,BAD BAD DIAHERA AND SLEEPY ALL THE TIME,Type 2 Diabetes Mellitus,metformin oral,4,1,2,"metformin, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",1
8/30/2011 1:27:19 PM,BAD BAD DIAHERA AND SLEEPY ALL THE TIME,Type 2 Diabetes Mellitus,metformin oral,3,3,2,"emily, 55-64 Female  on Treatment for 2 to less than 5 years (Patient)",2
10/20/2011 5:26:14 PM,constant diarreh(sp) and stomach pain,Type 2 Diabetes Mellitus,metformin oral,2,4,14,65-74 Female  on Treatment for 5 to less than 10 years (Patient),1
10/13/2011 9:39:11 AM,constant diarreh(sp) and stomach pain,Type 2 Diabetes Mellitus,metformin oral,5,3,14,45-54 Male  on Treatment for 2 to less than 5 years (Patient),2
10/12/2011 9:16:59 AM,constant diarreh(sp) and stomach pain,Type 2 Diabetes Mellitus,metformin oral,5,5,14,"JeffryC, 55-64 Male  on Treatment for less than 1 month (Patient)",2
10/10/2011 7:59:17 PM,constant diarreh(sp) and stomach pain,Type 2 Diabetes Mellitus,metformin oral,5,5,14,"DABOB, 55-64 Male  on Treatment for less than 1 month (Patient)",5
10/9/2011 8:20:35 PM,constant diarreh(sp) and stomach pain,Type 2 Diabetes Mellitus,metformin oral,5,3,14,"frkjes4life, 35-44 Female  on Treatment for 1 to 6 months (Patient)",3
11/10/2011 8:21:14 PM,I have only been on this med 2 weeks I don't feel any different I was not told to check my blood sugar and I don't have a tester I do have trouble remembering to take it with dinner. I usually remember about an hour after dinner. I don't see my doctor for 2 months from now,Type 2 Diabetes Mellitus,metformin oral,4,3,0,,4
11/10/2011 2:40:04 PM,I have only been on this med 2 weeks I don't feel any different I was not told to check my blood sugar and I don't have a tester I do have trouble remembering to take it with dinner. I usually remember about an hour after dinner. I don't see my doctor for 2 months from now,Type 2 Diabetes Mellitus,metformin oral,3,2,0,"mobo, 65-74 Female  on Treatment for less than 1 month (Patient)",3
11/9/2011 1:12:17 PM,I have only been on this med 2 weeks I don't feel any different I was not told to check my blood sugar and I don't have a tester I do have trouble remembering to take it with dinner. I usually remember about an hour after dinner. I don't see my doctor for 2 months from now,Type 2 Diabetes Mellitus,metformin oral,5,5,0,65-74 Female  on Treatment for 1 to 6 months (Patient),5
11/8/2011 12:43:03 PM,I have only been on this med 2 weeks I don't feel any different I was not told to check my blood sugar and I don't have a tester I do have trouble remembering to take it with dinner. I usually remember about an hour after dinner. I don't see my doctor for 2 months from now,Type 2 Diabetes Mellitus,metformin oral,5,5,0,55-64 Female  on Treatment for less than 1 month (Patient),5
11/1/2011 1:21:35 PM,I have only been on this med 2 weeks I don't feel any different I was not told to check my blood sugar and I don't have a tester I do have trouble remembering to take it with dinner. I usually remember about an hour after dinner. I don't see my doctor for 2 months from now,Type 2 Diabetes Mellitus,metformin oral,5,4,0,"sirhawkeye64, 25-34 Male  on Treatment for 1 to 6 months (Patient)",4
11/14/2011 4:43:26 PM,Was working fine until stress in our family caused problems.,Type 2 Diabetes Mellitus,metformin oral,4,3,1,"smithk99, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient)",2
11/12/2011 1:54:59 PM,Was working fine until stress in our family caused problems.,Type 2 Diabetes Mellitus,metformin oral,4,4,1,"Jimi, 55-64 Male  on Treatment for 10 years or more (Patient)",5
11/19/2011 2:04:43 PM,Was working fine until stress in our family caused problems.,Type 2 Diabetes Mellitus,metformin oral,5,5,1,55-64 Male  on Treatment for 1 to 6 months (Patient),4
11/18/2011 9:48:02 PM,Was working fine until stress in our family caused problems.,Type 2 Diabetes Mellitus,metformin oral,3,3,1,"Springfield9mm, 55-64 Male  on Treatment for 1 to less than 2 years (Patient)",1
11/11/2011 4:35:43 PM,Was working fine until stress in our family caused problems.,Type 2 Diabetes Mellitus,metformin oral,5,5,1,"SinNombre, 25-34 Male  on Treatment for 2 to less than 5 years (Patient)",5
12/3/2011 7:37:30 PM,"brings my blood sugar levels down when taking with actos,very bad gas and bowel movements irregular.but i lost 50 lbs one good thing",Type 2 Diabetes Mellitus,metformin oral,5,4,21,"sunshine, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient)",5
11/26/2011 11:25:34 AM,"brings my blood sugar levels down when taking with actos,very bad gas and bowel movements irregular.but i lost 50 lbs one good thing",Type 2 Diabetes Mellitus,metformin oral,1,1,21,,1
11/26/2011 1:31:51 AM,"brings my blood sugar levels down when taking with actos,very bad gas and bowel movements irregular.but i lost 50 lbs one good thing",Type 2 Diabetes Mellitus,metformin oral,5,4,21,"char, 65-74 Female  on Treatment for 2 to less than 5 years (Patient)",5
11/21/2011 11:24:00 PM,"brings my blood sugar levels down when taking with actos,very bad gas and bowel movements irregular.but i lost 50 lbs one good thing",Type 2 Diabetes Mellitus,metformin oral,5,5,21,"AL59, 45-54 Male  on Treatment for 1 to 6 months (Patient)",4
11/21/2011 4:16:59 PM,"brings my blood sugar levels down when taking with actos,very bad gas and bowel movements irregular.but i lost 50 lbs one good thing",Type 2 Diabetes Mellitus,metformin oral,1,5,21,"KB, 25-34 on Treatment for less than 1 month (Patient)",1
12/14/2011 2:51:50 PM,"I am taking Metformin XR 750mg twice a day.  The diarrhea and nausea was horrible at first, but gets better as long as I take it every day and do not forget a dose.  Also noticed if I eat fatty foods the diarrhea comes back.  Overall it has lowered my A1C which I am happy about.  ",Type 2 Diabetes Mellitus,metformin oral,4,4,16,25-34 Female  on Treatment for 6 months to less than 1 year (Patient),3
12/7/2011 11:39:01 PM,"I am taking Metformin XR 750mg twice a day.  The diarrhea and nausea was horrible at first, but gets better as long as I take it every day and do not forget a dose.  Also noticed if I eat fatty foods the diarrhea comes back.  Overall it has lowered my A1C which I am happy about.  ",Type 2 Diabetes Mellitus,metformin oral,3,3,16,"cvg911, 65-74 Female  on Treatment for less than 1 month (Patient)",3
12/7/2011 8:54:28 PM,"I am taking Metformin XR 750mg twice a day.  The diarrhea and nausea was horrible at first, but gets better as long as I take it every day and do not forget a dose.  Also noticed if I eat fatty foods the diarrhea comes back.  Overall it has lowered my A1C which I am happy about.  ",Type 2 Diabetes Mellitus,metformin oral,4,4,16,"mz.ash, 19-24 Female  on Treatment for 1 to 6 months (Patient)",5
12/7/2011 8:41:36 PM,"I am taking Metformin XR 750mg twice a day.  The diarrhea and nausea was horrible at first, but gets better as long as I take it every day and do not forget a dose.  Also noticed if I eat fatty foods the diarrhea comes back.  Overall it has lowered my A1C which I am happy about.  ",Type 2 Diabetes Mellitus,metformin oral,3,3,16,75 or over Male  on Treatment for 1 to 6 months (Patient),3
12/6/2011 2:27:12 PM,"I am taking Metformin XR 750mg twice a day.  The diarrhea and nausea was horrible at first, but gets better as long as I take it every day and do not forget a dose.  Also noticed if I eat fatty foods the diarrhea comes back.  Overall it has lowered my A1C which I am happy about.  ",Type 2 Diabetes Mellitus,metformin oral,4,2,16,45-54 Male  on Treatment for 5 to less than 10 years (Patient),3
1/12/2012 5:42:58 PM,"I was prescribed Metformin ER - 1,000 mg daily to control serum glucose.  Overall results have been excellent; the only negative side effect was mild- to moderate nausea which dissipated after about the first month.  Glucose is at an acceptable level and I feel fine.",Type 2 Diabetes Mellitus,metformin oral,5,5,13,55-64 Male  on Treatment for 6 months to less than 1 year (Patient),5
1/6/2012 3:57:46 PM,"I was prescribed Metformin ER - 1,000 mg daily to control serum glucose.  Overall results have been excellent; the only negative side effect was mild- to moderate nausea which dissipated after about the first month.  Glucose is at an acceptable level and I feel fine.",Type 2 Diabetes Mellitus,metformin oral,4,1,13,"maryesparks, 65-74 Female  on Treatment for less than 1 month (Patient)",1
1/6/2012 11:44:30 AM,"I was prescribed Metformin ER - 1,000 mg daily to control serum glucose.  Overall results have been excellent; the only negative side effect was mild- to moderate nausea which dissipated after about the first month.  Glucose is at an acceptable level and I feel fine.",Type 2 Diabetes Mellitus,metformin oral,5,1,13,"Frustrated, 75 or over Female  on Treatment for 1 to 6 months (Caregiver)",2
1/4/2012 12:24:41 PM,"I was prescribed Metformin ER - 1,000 mg daily to control serum glucose.  Overall results have been excellent; the only negative side effect was mild- to moderate nausea which dissipated after about the first month.  Glucose is at an acceptable level and I feel fine.",Type 2 Diabetes Mellitus,metformin oral,5,5,13,55-64 Male  on Treatment for less than 1 month (Patient),3
12/27/2011 7:41:38 PM,"I was prescribed Metformin ER - 1,000 mg daily to control serum glucose.  Overall results have been excellent; the only negative side effect was mild- to moderate nausea which dissipated after about the first month.  Glucose is at an acceptable level and I feel fine.",Type 2 Diabetes Mellitus,metformin oral,5,3,13,,2
1/27/2012 9:55:20 PM,EGFR went from 95.9 to 45 in 30 days,Type 2 Diabetes Mellitus,metformin oral,4,3,1,"Stan, 65-74 Male  on Treatment for 1 to 6 months (Patient)",1
1/27/2012 7:44:20 PM,EGFR went from 95.9 to 45 in 30 days,Type 2 Diabetes Mellitus,metformin oral,1,1,1,55-64 Female  (Patient),1
1/23/2012 9:16:36 AM,EGFR went from 95.9 to 45 in 30 days,Type 2 Diabetes Mellitus,metformin oral,5,5,1,"turtle, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",5
1/21/2012 8:33:16 PM,EGFR went from 95.9 to 45 in 30 days,Type 2 Diabetes Mellitus,metformin oral,5,3,1,"jacquewp, 35-44 Female  on Treatment for 2 to less than 5 years (Patient)",1
1/17/2012 6:30:15 PM,EGFR went from 95.9 to 45 in 30 days,Type 2 Diabetes Mellitus,metformin oral,4,4,1,"donowrong, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",4
2/10/2012 3:20:17 PM,"I have been on this medicine for two weeks.  First week it did not lower my blood sugar, it stayed over 220. Dr. told me to take it after very meal. Today it was 181. First week I had diarrhea and bad headaches.  This week I just have had bad headaches and exhaustion. Praying that this will pass soon.",Type 2 Diabetes Mellitus,metformin oral,2,2,16,"wealthy48, 45-54 Female  on Treatment for less than 1 month (Patient)",2
2/9/2012 3:35:38 PM,"I have been on this medicine for two weeks.  First week it did not lower my blood sugar, it stayed over 220. Dr. told me to take it after very meal. Today it was 181. First week I had diarrhea and bad headaches.  This week I just have had bad headaches and exhaustion. Praying that this will pass soon.",Type 2 Diabetes Mellitus,metformin oral,5,5,16,"Peggy, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",5
2/5/2012 4:06:05 AM,"I have been on this medicine for two weeks.  First week it did not lower my blood sugar, it stayed over 220. Dr. told me to take it after very meal. Today it was 181. First week I had diarrhea and bad headaches.  This week I just have had bad headaches and exhaustion. Praying that this will pass soon.",Type 2 Diabetes Mellitus,metformin oral,5,5,16,65-74 Female  on Treatment for 2 to less than 5 years (Patient),5
1/31/2012 11:57:10 PM,"I have been on this medicine for two weeks.  First week it did not lower my blood sugar, it stayed over 220. Dr. told me to take it after very meal. Today it was 181. First week I had diarrhea and bad headaches.  This week I just have had bad headaches and exhaustion. Praying that this will pass soon.",Type 2 Diabetes Mellitus,metformin oral,5,5,16,"bridget,  Female  on Treatment for 10 years or more (Patient)",4
1/28/2012 11:28:14 AM,"I have been on this medicine for two weeks.  First week it did not lower my blood sugar, it stayed over 220. Dr. told me to take it after very meal. Today it was 181. First week I had diarrhea and bad headaches.  This week I just have had bad headaches and exhaustion. Praying that this will pass soon.",Type 2 Diabetes Mellitus,metformin oral,3,3,16,"wendy, 35-44 Female  on Treatment for less than 1 month (Patient)",2
3/3/2012 12:46:19 PM,This drug seems to give me diahrea.,Type 2 Diabetes Mellitus,metformin oral,3,5,23,"pnfqjb, 75 or over Female  on Treatment for 2 to less than 5 years (Patient)",3
3/3/2012 12:12:48 PM,This drug seems to give me diahrea.,Type 2 Diabetes Mellitus,metformin oral,3,2,23,65-74 Male  on Treatment for 5 to less than 10 years (Patient),1
2/20/2012 3:32:00 PM,This drug seems to give me diahrea.,Type 2 Diabetes Mellitus,metformin oral,5,5,23,65-74 Male  on Treatment for 5 to less than 10 years,5
2/16/2012 8:51:17 PM,This drug seems to give me diahrea.,Type 2 Diabetes Mellitus,metformin oral,4,4,23,65-74 Female  on Treatment for 6 months to less than 1 year (Patient),4
2/12/2012 10:38:00 PM,This drug seems to give me diahrea.,Type 2 Diabetes Mellitus,metformin oral,4,4,23,65-74 Male  on Treatment for 2 to less than 5 years (Patient),3
3/24/2012 12:31:55 AM,"
while the drug has been effective incombinations with other drugs in lowering bloo sugar levels, it has caused indigestion and splotchy red skin rash on arms, chest and abdomen.",Type 2 Diabetes Mellitus,metformin oral,2,2,12,"chetthejet, 65-74 Male  on Treatment for 5 to less than 10 years (Patient)",1
3/20/2012 9:18:44 PM,"
while the drug has been effective incombinations with other drugs in lowering bloo sugar levels, it has caused indigestion and splotchy red skin rash on arms, chest and abdomen.",Type 2 Diabetes Mellitus,metformin oral,2,3,12,"Dudeboy, 45-54 Male  on Treatment for 1 to 6 months (Patient)",2
3/18/2012 2:59:21 AM,"
while the drug has been effective incombinations with other drugs in lowering bloo sugar levels, it has caused indigestion and splotchy red skin rash on arms, chest and abdomen.",Type 2 Diabetes Mellitus,metformin oral,5,5,12,"ericaltjennings, 75 or over Female  on Treatment for 1 to 6 months (Patient)",4
3/14/2012 2:21:56 PM,"
while the drug has been effective incombinations with other drugs in lowering bloo sugar levels, it has caused indigestion and splotchy red skin rash on arms, chest and abdomen.",Type 2 Diabetes Mellitus,metformin oral,3,4,12,55-64 Female  on Treatment for 1 to less than 2 years (Patient),4
3/7/2012 1:51:02 PM,"
while the drug has been effective incombinations with other drugs in lowering bloo sugar levels, it has caused indigestion and splotchy red skin rash on arms, chest and abdomen.",Type 2 Diabetes Mellitus,metformin oral,3,3,12,45-54 Male  on Treatment for 5 to less than 10 years (Patient),3
4/5/2012 1:39:25 PM,This drug is the safest and least expensive and has beneficial side effects. It is well worth waiting out the initial few weeks of discomfort.,Type 2 Diabetes Mellitus,metformin oral,5,4,8,"MRSherman1, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",5
4/5/2012 12:36:51 PM,This drug is the safest and least expensive and has beneficial side effects. It is well worth waiting out the initial few weeks of discomfort.,Type 2 Diabetes Mellitus,metformin oral,1,1,8,"metformin, 75 or over Female  on Treatment for 1 to 6 months (Patient)",1
4/2/2012 11:20:23 PM,This drug is the safest and least expensive and has beneficial side effects. It is well worth waiting out the initial few weeks of discomfort.,Type 2 Diabetes Mellitus,metformin oral,4,4,8,75 or over Male  on Treatment for less than 1 month (Patient),4
4/1/2012 1:24:12 PM,This drug is the safest and least expensive and has beneficial side effects. It is well worth waiting out the initial few weeks of discomfort.,Type 2 Diabetes Mellitus,metformin oral,5,2,8,"addie, 75 or over Female  on Treatment for less than 1 month (Patient)",1
3/31/2012 11:12:03 AM,This drug is the safest and least expensive and has beneficial side effects. It is well worth waiting out the initial few weeks of discomfort.,Type 2 Diabetes Mellitus,metformin oral,3,3,8,"ebony61, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient)",2
4/13/2012 4:10:34 AM,is possible to be allergic to this medication?,Type 2 Diabetes Mellitus,metformin oral,5,5,2,"doris, 55-64 Female  on Treatment for 10 years or more (Patient)",5
4/10/2012 7:11:28 PM,is possible to be allergic to this medication?,Type 2 Diabetes Mellitus,metformin oral,4,2,2,"metformin, 65-74 Female  on Treatment for 5 to less than 10 years (Patient)",3
4/9/2012 5:28:04 PM,is possible to be allergic to this medication?,Type 2 Diabetes Mellitus,metformin oral,3,3,2,"loric, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",3
4/8/2012 8:58:23 PM,is possible to be allergic to this medication?,Type 2 Diabetes Mellitus,metformin oral,5,5,2,"MrDurandMI, 35-44 Male  on Treatment for 6 months to less than 1 year (Patient)",3
4/5/2012 2:50:26 PM,is possible to be allergic to this medication?,Type 2 Diabetes Mellitus,metformin oral,1,3,2,"bigmama, 65-74 Female  (Patient)",2
4/28/2012 9:37:12 AM,only side effect is dirrhea.,Type 2 Diabetes Mellitus,metformin oral,4,4,19,"oolong, 55-64 Female  on Treatment for 2 to less than 5 years (Patient)",4
4/26/2012 9:30:10 AM,only side effect is dirrhea.,Type 2 Diabetes Mellitus,metformin oral,4,4,19,65-74 Female  on Treatment for 2 to less than 5 years (Patient),4
4/25/2012 11:27:13 AM,only side effect is dirrhea.,Type 2 Diabetes Mellitus,metformin oral,5,5,19,19-24 Female  on Treatment for 2 to less than 5 years (Patient),4
4/22/2012 4:23:13 PM,only side effect is dirrhea.,Type 2 Diabetes Mellitus,metformin oral,5,2,19,55-64 Female  on Treatment for 1 to 6 months (Patient),1
4/19/2012 3:26:18 PM,only side effect is dirrhea.,Type 2 Diabetes Mellitus,metformin oral,2,1,19,"foxykitte6, 65-74 Female  on Treatment for less than 1 month (Patient)",1
5/21/2012 5:16:40 PM,"I have problems remembering to take this Drug. So, my taking the drug has been very ""hit and miss"". I also like to have a glass of Wine with my Dinner (evenning meal), and then I feel I should wait an hour or longer before taking the drug, but then I usually forget to take it.",Type 2 Diabetes Mellitus,metformin oral,2,3,2,65-74 on Treatment for 5 to less than 10 years (Patient),2
5/8/2012 11:01:32 PM,"I have problems remembering to take this Drug. So, my taking the drug has been very ""hit and miss"". I also like to have a glass of Wine with my Dinner (evenning meal), and then I feel I should wait an hour or longer before taking the drug, but then I usually forget to take it.",Type 2 Diabetes Mellitus,metformin oral,5,4,2,"Agent Orange, 65-74 Male  on Treatment for 2 to less than 5 years (Patient)",3
5/6/2012 8:19:18 PM,"I have problems remembering to take this Drug. So, my taking the drug has been very ""hit and miss"". I also like to have a glass of Wine with my Dinner (evenning meal), and then I feel I should wait an hour or longer before taking the drug, but then I usually forget to take it.",Type 2 Diabetes Mellitus,metformin oral,4,4,2,55-64 Female  on Treatment for 2 to less than 5 years (Patient),4
5/1/2012 1:03:05 PM,"I have problems remembering to take this Drug. So, my taking the drug has been very ""hit and miss"". I also like to have a glass of Wine with my Dinner (evenning meal), and then I feel I should wait an hour or longer before taking the drug, but then I usually forget to take it.",Type 2 Diabetes Mellitus,metformin oral,3,4,2,,3
4/29/2012 7:46:19 AM,"I have problems remembering to take this Drug. So, my taking the drug has been very ""hit and miss"". I also like to have a glass of Wine with my Dinner (evenning meal), and then I feel I should wait an hour or longer before taking the drug, but then I usually forget to take it.",Type 2 Diabetes Mellitus,metformin oral,5,5,2,65-74 Female  (Patient),5
6/6/2012 9:39:33 AM,My stomach is constantly upset. Pains in my legs. some headaches.,Type 2 Diabetes Mellitus,metformin oral,2,3,21,"lrmd6, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient)",2
5/27/2012 11:30:30 PM,My stomach is constantly upset. Pains in my legs. some headaches.,Type 2 Diabetes Mellitus,metformin oral,5,1,21,35-44 Female  on Treatment for 2 to less than 5 years (Patient),1
6/8/2012 6:30:45 PM,My stomach is constantly upset. Pains in my legs. some headaches.,Type 2 Diabetes Mellitus,metformin oral,5,5,21,"deedee, 35-44 Female  on Treatment for 1 to less than 2 years (Patient)",5
6/8/2012 10:03:39 AM,My stomach is constantly upset. Pains in my legs. some headaches.,Type 2 Diabetes Mellitus,metformin oral,5,5,21,"Metaformin, 55-64 Male  on Treatment for 6 months to less than 1 year (Patient)",5
5/22/2012 2:33:15 PM,My stomach is constantly upset. Pains in my legs. some headaches.,Type 2 Diabetes Mellitus,metformin oral,1,1,21,"danvf$th, 75 or over Male  on Treatment for less than 1 month (Patient)",1
8/31/2012 2:01:37 AM,I have noticed an improvement in my overall condition with no side effects. Very happy with the results.,Type 2 Diabetes Mellitus,metformin oral,5,5,11,"Norma, 65-74 Female  on Treatment for less than 1 month (Patient)",5
8/28/2012 5:27:57 PM,I have noticed an improvement in my overall condition with no side effects. Very happy with the results.,Type 2 Diabetes Mellitus,metformin oral,5,3,11,55-64 Male  on Treatment for 10 years or more (Patient),3
